Output,Output Tone/NAC,Channel Name,Mode,Comments
163.1125,$169,ICE NAT TAC 3,P25,National Tactical 3
164.7875,$169,ICE NAT TAC 4,P25,National Tactical 4
162.9875,$293,Jet Propulsion Labs Fire Response,P25,
155.4750,CSQ,National Law Enforcement Mutual Aid,FMN,FBI
165.2375,100.0,NET 01,FMN,
165.2375,100.0,NET 03,FMN,
165.6875,100.0,NET 04,FMN,IAH/Port of Houston
165.2375,100.0,NET 06,FMN,
165.4875,100.0,NET 08,FMN,
165.6875,100.0,NET 09,FMN,
165.2375,100.0,NET 1,FMN,
163.125,100.0,NET 10,FMN,
165.7625,100.0,NET 11,FMN,
166.5875,100.0,NET 12,FMN,
165.4125,100.0,NET 13,FMN,
165.4375,100.0,NET 14,FMN,
162.05,100.0,NET 15,FMN,
164.775,100.0,NET 16,FMN,
165.2375,100.0,NET 17,FMN,
163.625,100.0,NET 18,FMN,
163.675,100.0,NET 19,FMN,
169.45,100.0,NET 2,FMN,
163.625,100.0,NET 20,FMN,
170.125,100.0,NET 203,FMN,replaced Net-1
163.625,CSQ,NET 21,FMN,
163.675,CSQ,NET 22,FMN,
163.675,CSQ,NET 23,FMN,
165.6875,94.8,NET 24,FMN,
165.4875,100.0,NET 25,FMN,
166.3,100.0,NET 26,FMN,
166.2,100.0,NET 27,FMN,
163.175,100.0,NET 28,FMN,
169.55,100.0,NET 29,FMN,
165.2375,100.0,NET 3,FMN,
163.225,100.0,NET 30,FMN,
170.1,100.0,NET 31,FMN,
165.4125,100.0,NET 32,FMN,
169.55,100.0,NET 33,FMN,
162.3,100.0,NET 34,FMN,
163.125,131.8,NET 35,FMN,
163.7375,,NET 35,FMN,
170.725,100.0,NET 36,FMN,
165.6875,100.0,NET 37,FMN,
166.125,100.0,NET 38,FMN,
165.2375,100.0,NET 39,FMN,
165.6875,100.0,NET 4,FMN,
165.2375,100.0,NET 40,FMN,
165.6875,100.0,NET 41,FMN,
165.5125,100.0,NET 42,FMN,
165.2375,94.8,NET 43,FMN,
162.6625,100.0,NET 44,FMN,
165.4375,156.7,NET 45,FMN,
164.1,100.0,NET 46,FMN,
165.2375,100.0,NET 47,FMN,
169.4125,100.0,NET 48,FMN,
165.6875,100.0,NET 49,FMN,
164.6,100.0,NET 5,FMN,
162.25,100.0,NET 50,FMN,
163.3,100.0,NET 51,FMN,
165.2375,100.0,NET 52,FMN,
165.2375,100.0,NET 6,FMN,
165.4625,100.0,NET 7,FMN,
165.4875,100.0,NET 8,FMN,
165.6875,100.0,NET 9,FMN,
